Kode,Nama,Tanggal Pencatatan
AALI,Astra Agro Lestari Tbk,09 Des 1997
ABBA,Mahaka Media Tbk,03 Apr 2002
ABDA,Asuransi Bina Dana Arta Tbk,06 Jul 1989
ABMM,ABM Investama Tbk,06 Des 2011
ACES,Ace Hardware Indonesia Tbk,06 Nov 2007
ACST,PT Acset Indonusa Tbk.,24 Jun 2013
ADES,Akasha Wira International Tbk Tbk,13 Jun 1994
ADFO,PT Adindo Foresta Indonesia Tbk,01 Jan 1911
ADHI,PT Adhi Karya (Persero) Tbk.,18 Mar 2004
ADMF,Adira Dinamika Multi Finance Tbk,31 Mar 2004
ADMG,Polychem Indonesia Tbk,20 Okt 1993
ADRO,ADARO ENERGY Tbk,16 Jul 2008
AGAR,PT Asia Sejahtera Mina Tbk,02 Des 2019
AGII,PT Aneka Gas Industri Tbk.,28 Sep 2016
AGRO,PT Bank Rakyat Indonesia Agroniaga Tbk,08 Ags 2003
AGRS,PT Bank IBK Indonesia Tbk.,22 Des 2014
AHAP,Asuransi Harta Aman Pratama Tbk,14 Sep 1990
AIMS,Akbar Indomakmur Stimec Tbk,20 Jul 2001
AISA,Tiga Pilar Sejahtera Food Tbk,11 Jun 1997
AKKU,PT Anugerah Kagum Karya Utama Tbk,01 Nov 2004
AKPI,Argha Karya Prima Ind. Tbk,18 Des 1992
AKRA,PT AKR Corporindo Tbk.,03 Okt 1994
AKSI,PT Maming Enam Sembilan Mineral Tbk.,13 Jul 2001
ALDO,Alkindo Naratama Tbk,12 Jul 2011
ALKA,Alakasa Industrindo Tbk,12 Jul 1990
ALMI,Alumindo Light Metal Industry Tbk,02 Jan 1997
ALTO,Tri Banyan Tirta Tbk,10 Jul 2012
AMAG,Asuransi Multi Artha Guna Tbk,23 Des 2005
AMAN,PT Makmur Berkah Amanda Tbk.,13 Mar 2020
AMAR,PT Bank Amar Indonesia Tbk.,09 Jan 2020
AMFG,Asahimas Flat Glass Tbk,08 Nov 1995
AMIN,PT Ateliers Mecaniques D Indonesie Tbk.,10 Des 2015
AMOR,PT Ashmore Asset Management Indonesia Tbk.,14 Jan 2020
AMRT,PT Sumber Alfaria Trijaya Tbk.,15 Jan 2009
ANDI,PT Andira Agro Tbk,16 Ags 2018
ANJT,PT Austindo Nusantara Jaya Tbk.,08 Mei 2013
ANTM,Aneka Tambang Tbk.,27 Nov 1997
APEX,Apexindo Pratama Duta Tbk,10 Jul 2002
APIC,PACIFIC STRATEGIC FINANCIAL Tbk,18 Des 2002
APII,PT Arita Prima Indonesia Tbk.,29 Okt 2013
APLI,Asiaplast Industries Tbk,01 Mei 2000
APLN,PT Agung Podomoro Land Tbk.,11 Nov 2010
ARGO,Argo Pantes Tbk,07 Jan 1991
